listing_id,name,host_id,host_name,Boroughs,neighbourhood,price,number_of_reviews,last_review,reviews_per_month,availability_365,Boroughs_ID
13388649,New & Spacious Private Home - 15m to Manhattan,1544804,Michelle,Queens,Ditmars Steinway,95,78,9/19/2017,5.74,205,4.0
1209955,The Green Room: Start Your Adventure Here,3007815,Alia,Queens,Ditmars Steinway,69,67,9/20/2017,1.27,281,4.0
9698613,"1 Bedroom Sublet in Astoria, NY",50084376,Asijah,Queens,Ditmars Steinway,35,2,1/5/2016,0.09,0,4.0
14968955,Luxe King+Private Bath comfy quiet Astoroia,25144266,Therina,Queens,Ditmars Steinway,80,9,9/24/2017,1.14,25,4.0
19950498,Cozy apartment in one of the best areas of Queens.,141405886,Maria,Queens,Ditmars Steinway,200,2,9/18/2017,2.0,313,4.0
11301089,Entire Apartment (Furnished) 2br in Astoria !,1448564,Burak,Queens,Ditmars Steinway,199,1,4/11/2017,0.17,364,4.0
2519770,2-3 bedroom apt in Astoria NYC,12899510,Solange,Queens,Ditmars Steinway,150,1,8/28/2014,0.03,0,4.0
20714304,Awesome Cozy Room in The Heart of Astoria!,118751485,Simon,Queens,Ditmars Steinway,79,1,9/19/2017,1.0,88,4.0
11434386,Cozy Bedroom,42528376,Joseph,Queens,Ditmars Steinway,45,14,9/2/2017,0.83,2,4.0
20871796,Cozy studio,149847611,Todd,Queens,Ditmars Steinway,90,1,9/24/2017,1.0,176,4.0
10360144,Live like a local in NYC! Next to Ditmars subway,16823940,Malissa,Queens,Ditmars Steinway,40,3,8/12/2017,0.17,269,4.0
20190640,20 mins to Times Square & 10 Mins LGA,139867352,Oscar,Queens,Ditmars Steinway,59,11,9/28/2017,5.41,353,4.0
15899509,Beautiful 1 bedroom apartment,83542652,Roger,Queens,Ditmars Steinway,89,20,10/1/2017,2.01,53,4.0
10526346,Large Room in Astoria NEXT to PARK!,54275909,Melissa,Queens,Ditmars Steinway,34,2,2/20/2016,0.1,0,4.0
7254864,Gorgeous and cozy apartment 15min Manhattan,12031192,Marion,Queens,Ditmars Steinway,150,2,12/30/2016,0.14,0,4.0
6472275,"Cozy,newly furnished room inAstoria",24597265,Freda,Queens,Ditmars Steinway,45,4,6/15/2017,0.16,324,4.0
4377221,Charming Room 20 Mins to Manhattan,20828747,Katerina,Queens,Ditmars Steinway,45,95,9/18/2017,2.69,228,4.0
20674761,Big bedroom!,147930315,Nick,Queens,Ditmars Steinway,75,3,9/27/2017,3.0,84,4.0
17368490,Amazing 2 Bed. Apartment - 10 Min. to Manhattan!,117371089,Dilan,Queens,Ditmars Steinway,140,16,9/24/2017,2.36,339,4.0
18549222,Private room in Astoria  close to Manhattan,128768798,Ruth,Queens,Ditmars Steinway,80,15,9/27/2017,3.31,160,4.0
