AirBnB_Listings_Table_NYC
Borough_ID,Borough,Price,Min_Number_Nights_Booked,Total_Reviews,Reviews_Per_Month,Number_of_Listings,Annual_Availability_(Days)
1,Bronx,75,1,8,3.69,1,334
1,Bronx,50,1,33,4.69,1,345
1,Bronx,32,1,2,1.87,1,88
1,Bronx,90,3,0,,1,353
1,Bronx,59,3,11,0.44,1,333
1,Bronx,75,2,3,2,1,149
1,Bronx,75,2,11,0.33,1,365
1,Bronx,59,1,27,1.09,1,350
1,Bronx,200,2,0,,1,363
1,Bronx,125,1,11,0.4,1,343
1,Bronx,45,2,57,0.98,2,336
1,Bronx,60,2,3,0.75,1,31
1,Bronx,200,1,3,0.19,2,358
1,Bronx,50,2,0,,3,166
1,Bronx,90,1,1,0.08,1,364
1,Bronx,45,1,17,3.98,2,351
1,Bronx,100,15,2,0.39,1,364
1,Bronx,40,2,1,0.32,3,364
1,Bronx,31,2,4,0.4,1,0
1,Bronx,80,3,22,3.35,5,339
1,Bronx,75,4,3,0.27,1,342
1,Bronx,75,1,0,,1,0
1,Bronx,110,2,0,,1,0
1,Bronx,120,2,2,0.17,2,360
1,Bronx,90,2,0,,1,329
1,Bronx,70,3,0,,3,365
1,Bronx,50,2,2,0.61,1,174
1,Bronx,95,2,3,3,1,60
1,Bronx,60,1,0,,1,362
1,Bronx,60,3,26,0.81,3,235
1,Bronx,225,1,0,,1,0
1,Bronx,40,3,19,0.83,3,274
1,Bronx,55,7,0,,1,365
1,Bronx,45,3,14,0.85,3,354
1,Bronx,49,2,3,0.09,2,172
1,Bronx,63,1,123,4.7,1,322
1,Bronx,65,2,17,1.85,2,31
1,Bronx,60,2,39,2.2,4,162
1,Bronx,65,3,0,,1,146
1,Bronx,198,1,0,,1,364
1,Bronx,100,1,14,0.44,1,356
1,Bronx,87,2,81,4.15,2,144
1,Bronx,99,3,28,1.81,1,318
1,Bronx,99,1,0,,1,0
1,Bronx,45,3,7,0.33,1,363
1,Bronx,60,2,26,1.52,4,355
1,Bronx,55,2,18,1.07,4,341
1,Bronx,75,2,59,4.5,2,346
1,Bronx,85,3,0,,3,365
1,Bronx,75,3,6,2,1,8
1,Bronx,35,2,27,1.69,1,270
1,Bronx,65,3,0,,1,60
1,Bronx,33,1,0,,1,88
1,Bronx,350,10,0,,2,174
1,Bronx,155,2,0,,1,237
1,Bronx,100,6,0,,1,365
1,Bronx,105,5,59,0.92,1,291
1,Bronx,60,1,8,0.56,1,365
1,Bronx,130,4,14,2.04,1,293
1,Bronx,30,1,11,0.72,1,0
1,Bronx,75,3,13,3.25,1,6
1,Bronx,40,2,8,2.55,2,69
1,Bronx,85,3,0,,1,0
1,Bronx,109,3,31,1.24,1,325
1,Bronx,80,2,37,3.36,2,360
1,Bronx,60,2,37,2.32,4,349
1,Bronx,50,1,23,3.48,2,68
1,Bronx,80,1,0,,1,365
1,Bronx,680,1,0,,1,0
1,Bronx,37,1,3,0.74,1,364
1,Bronx,35,3,0,,1,363
1,Bronx,39,2,35,1.47,5,333
1,Bronx,70,1,3,0.22,1,365
1,Bronx,29,2,1,0.37,1,0
1,Bronx,55,3,0,,1,61
1,Bronx,70,6,32,0.95,1,334
1,Bronx,100,2,5,1.16,1,0
1,Bronx,70,3,0,,1,0
1,Bronx,93,1,11,0.33,1,364
1,Bronx,50,3,12,1.64,1,336
1,Bronx,45,7,2,0.54,1,293
1,Bronx,80,1,2,0.11,1,0
1,Bronx,40,1,1,0.11,1,0
1,Bronx,60,3,0,,1,0
1,Bronx,95,3,46,1.7,1,309
1,Bronx,125,12,0,,1,180
1,Bronx,125,1,0,,1,0
1,Bronx,65,3,9,0.52,1,59
1,Bronx,58,5,1,1,1,8
1,Bronx,130,5,0,,1,89
1,Bronx,65,1,0,,1,0
1,Bronx,60,3,26,1.98,1,359
1,Bronx,50,1,42,1.13,1,356
1,Bronx,85,1,0,,1,89
1,Bronx,43,3,7,0.37,3,30
1,Bronx,52,4,83,2.27,1,307
1,Bronx,88,1,1,1,1,365
1,Bronx,100,1,0,,1,365
1,Bronx,60,2,1,0.11,1,363
1,Bronx,38,3,26,0.96,1,35
1,Bronx,34,2,67,2.8,1,314
1,Bronx,135,2,2,2,2,146
1,Bronx,75,1,0,,1,0
1,Bronx,65,1,0,,1,364
1,Bronx,40,2,19,0.85,1,364
1,Bronx,35,1,1,1,1,78
1,Bronx,85,1,1,1,2,362
1,Bronx,43,2,13,0.82,1,364
1,Bronx,80,4,0,,1,60
1,Bronx,44,2,0,,1,275
1,Bronx,65,2,5,1.88,1,81
1,Bronx,110,2,0,,1,70
1,Bronx,50,3,14,0.67,3,357
1,Bronx,50,1,0,,1,363
1,Bronx,40,3,125,1.94,3,324
1,Bronx,110,2,14,6.27,1,125
1,Bronx,40,1,12,0.46,1,115
1,Bronx,44,4,105,1.61,3,308
1,Bronx,70,1,0,,1,365
1,Bronx,65,4,10,0.17,1,293
1,Bronx,53,1,7,5.68,1,332
1,Bronx,150,4,46,2.46,1,55
1,Bronx,42,2,2,0.17,1,0
1,Bronx,55,7,5,0.24,1,151
1,Bronx,125,1,0,,1,0
1,Bronx,119,3,0,,1,0
1,Bronx,75,3,2,0.16,1,87
1,Bronx,80,7,3,1.73,1,0
1,Bronx,63,2,106,2.32,1,335
1,Bronx,125,7,0,,1,90
1,Bronx,29,2,0,,2,348
1,Bronx,55,2,5,2.34,1,361
1,Bronx,75,1,28,2.05,3,166
1,Bronx,50,3,0,,1,121
1,Bronx,59,1,54,3.16,3,165
1,Bronx,40,2,8,0.11,5,365
1,Bronx,40,31,57,0.73,5,351
1,Bronx,73,2,0,,1,0
1,Bronx,50,7,0,,1,0
1,Bronx,125,2,5,0.37,1,89
1,Bronx,85,3,0,,1,363
1,Bronx,65,3,1,0.08,1,179
1,Bronx,43,2,13,2.75,4,15
1,Bronx,60,1,11,1.13,2,340
