,City_name,Name,Review,Service_name,Type
248,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
249,QUEENS,The Alcove,4.5,restaurants, Thai 
250,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
251,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
252,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
253,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
254,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
255,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
256,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
257,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
258,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
259,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
260,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
261,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
262,QUEENS,Queens Comfort,4.5,restaurants, Thai 
263,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
264,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
265,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
266,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
267,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
268,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
269,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
270,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
271,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
272,QUEENS,Mama Lee,4.5,restaurants, Cuban 
273,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
274,QUEENS,Momo Crave,4.0,restaurants, Korean 
275,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
276,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
277,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
278,QUEENS,Dae Sung Kal Guk Su,5.0,restaurants," Gastropubs, Tapas Bars, Breakfast & Brunch "
279,QUEENS,The Alcove,4.5,restaurants, Thai 
280,QUEENS,Kin’d,4.0,restaurants," Gastropubs, Cocktail Bars, Beer Bar "
281,QUEENS,Forest Hills Station House,4.5,restaurants," Vietnamese, Sandwiches, Asian Fusion "
282,QUEENS,JoJu,4.5,restaurants," Peruvian, Cocktail Bars, Tapas Bars "
283,QUEENS,Jora Restaurant & Bar,4.0,restaurants, Thai 
284,QUEENS,SriPraPhai Thai Restaurant,4.5,restaurants," Cajun/Creole, Seafood, Bars "
285,QUEENS,Oceanic Boil,4.0,restaurants," Vietnamese, Cocktail Bars "
286,QUEENS,District Saigon,4.0,restaurants," Cajun/Creole, Southern, Breakfast & Brunch "
287,QUEENS,Sugar Freak,4.5,restaurants," Greek, Falafel, Seafood "
288,QUEENS,Nicks Bistro,4.5,restaurants, Pizza 
289,QUEENS,Macoletta,4.0,restaurants," Wine Bars, Breakfast & Brunch "
290,QUEENS,Jack & Nellie’s,4.0,restaurants," Shanghainese, Specialty Food, Noodles "
291,QUEENS,Nan Xiang Xiao Long Bao,4.0,restaurants," Breakfast & Brunch, American (New), Comfort Food "
292,QUEENS,Queens Comfort,4.5,restaurants, Thai 
293,QUEENS,Kitchen 79,4.0,restaurants," Latin American, Cuban "
294,QUEENS,Cabana,4.0,restaurants," Caribbean, Desserts, Seafood "
295,QUEENS,The Door,4.0,restaurants," Breakfast & Brunch, American (New), Whiskey Bars "
296,QUEENS,Sanfords Astoria,4.5,restaurants," American (New), Hawaiian, Tiki Bars "
297,QUEENS,The Highwater,4.0,restaurants," Barbeque, Burgers "
298,QUEENS,Butcher Bar,4.0,restaurants," Seafood, Greek, Mediterranean "
299,QUEENS,Taverna Kyclades,4.5,restaurants," Mediterranean, Kosher, Georgian "
300,QUEENS,Marani,4.0,restaurants," Seafood, Cajun/Creole "
301,QUEENS,Naked Crab,4.5,restaurants," Chinese, Taiwanese "
302,QUEENS,Mama Lee,4.5,restaurants, Cuban 
303,QUEENS,Rincon Criollo,4.5,restaurants, Himalayan/Nepalese 
304,QUEENS,Momo Crave,4.0,restaurants, Korean 
305,QUEENS,Hahm Ji Bach,4.0,restaurants," Ramen, Sushi Bars "
306,QUEENS,Hashi Ramen & Izakaya,4.5,restaurants, Filipino 
307,QUEENS,Papa’s Kitchen,4.5,restaurants, Korean 
308,QUEENS,Dae Sung Kal Guk Su,4.0,Nightlife, Lounges 
309,QUEENS,A+ Roof Bar,4.5,Nightlife," Lounges, Hookah Bars "
310,QUEENS,Desert Rain Lounge,4.5,Nightlife, Lounges 
311,QUEENS,Blend Lounge NY,4.0,Nightlife," Lounges, Cocktail Bars, Venues & Event Spaces "
312,QUEENS,Leaf Bar & Lounge,4.5,Nightlife," Cocktail Bars, Lounges, Wine Bars "
313,QUEENS,La Sala,4.0,Nightlife," Lounges, Cocktail Bars "
314,QUEENS,Rooftop 93,2.5,Nightlife," Lounges, Music Venues, Chicken Wings "
315,QUEENS,Sorry Not Sorry,4.5,Nightlife," Hookah Bars, Desserts, Lounges "
316,QUEENS,Sugar N Coal,3.5,Nightlife, Lounges 
317,QUEENS,Playboy Club NYC,5.0,Nightlife, Dive Bars 
318,QUEENS,Luv Story Bar,5.0,Nightlife," Bars, Comfort Food "
319,QUEENS,3308 Eats n’ Drinks,5.0,Nightlife," Dance Clubs, Lounges "
320,QUEENS,City View Ultra Lounge,4.0,Nightlife," Dance Clubs, Sports Bars, Lounges "
321,QUEENS,Tavern Lounge,2.0,Nightlife, Dance Clubs 
322,QUEENS,La Boom,2.0,Nightlife, Lounges 
323,QUEENS,F Lit,3.5,Nightlife," Lounges, American (Traditional) "
324,QUEENS,Tropix Bar & Lounge,5.0,Nightlife," Lounges, Hookah Bars "
